,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-03-22,4100.0,4195.0,3800.0,3900.0,3933200.0,1950.0
1,2018-03-23,3655.0,4320.0,3570.0,3980.0,1840400.0,1990.0
2,2018-03-26,4190.0,4680.0,4100.0,4680.0,1295000.0,2340.0
3,2018-03-27,4900.0,5240.0,4295.0,4335.0,1804700.0,2167.5
4,2018-03-28,4265.0,4940.0,4060.0,4590.0,1325900.0,2295.0
5,2018-03-29,4585.0,5290.0,4510.0,5290.0,991900.0,2645.0
6,2018-03-30,5480.0,6260.0,5320.0,6000.0,1626000.0,3000.0
7,2018-04-02,5960.0,6740.0,5760.0,6350.0,995300.0,3175.0
8,2018-04-03,7050.0,7350.0,6740.0,6870.0,1220000.0,3435.0
9,2018-04-04,6770.0,7520.0,6470.0,7520.0,1239600.0,3760.0
10,2018-04-05,7350.0,7450.0,6790.0,6940.0,525900.0,3470.0
11,2018-04-06,7210.0,7540.0,7000.0,7190.0,597500.0,3595.0
12,2018-04-09,7070.0,7170.0,6620.0,6660.0,226000.0,3330.0
13,2018-04-10,6560.0,6580.0,5930.0,6000.0,235600.0,3000.0
14,2018-04-11,6180.0,6430.0,5700.0,5800.0,399100.0,2900.0
15,2018-04-12,5850.0,6480.0,5690.0,5800.0,509000.0,2900.0
16,2018-04-13,5900.0,6080.0,5780.0,5860.0,188400.0,2930.0
17,2018-04-16,6260.0,6860.0,6180.0,6650.0,1058100.0,3325.0
18,2018-04-17,6940.0,7330.0,6680.0,7110.0,1301700.0,3555.0
19,2018-04-18,7040.0,7260.0,6610.0,6870.0,543200.0,3435.0
20,2018-04-19,7150.0,7520.0,5870.0,6100.0,1371900.0,3050.0
21,2018-04-20,6290.0,6400.0,6000.0,6170.0,392600.0,3085.0
22,2018-04-23,6210.0,6340.0,5740.0,5900.0,268900.0,2950.0
23,2018-04-24,6090.0,6090.0,5690.0,5700.0,199900.0,2850.0
24,2018-04-25,5610.0,5830.0,5520.0,5630.0,145200.0,2815.0
25,2018-04-26,5670.0,5780.0,5310.0,5500.0,163800.0,2750.0
26,2018-04-27,5460.0,5490.0,5130.0,5190.0,96100.0,2595.0
27,2018-05-01,5180.0,5310.0,5120.0,5310.0,57700.0,2655.0
28,2018-05-02,5280.0,5740.0,5250.0,5720.0,216300.0,2860.0
29,2018-05-07,5810.0,5960.0,5670.0,5930.0,141100.0,2965.0
30,2018-05-08,5910.0,5930.0,5740.0,5810.0,95400.0,2905.0
31,2018-05-09,5850.0,5950.0,5540.0,5610.0,108200.0,2805.0
32,2018-05-10,5550.0,5680.0,5480.0,5650.0,62300.0,2825.0
33,2018-05-11,5700.0,5700.0,5370.0,5450.0,54300.0,2725.0
34,2018-05-14,5360.0,5390.0,5140.0,5160.0,64900.0,2580.0
35,2018-05-15,5180.0,5280.0,5110.0,5170.0,33500.0,2585.0
36,2018-05-16,5220.0,5230.0,4735.0,4900.0,105600.0,2450.0
37,2018-05-17,4965.0,5600.0,4950.0,5570.0,187700.0,2785.0
38,2018-05-18,5630.0,5660.0,5330.0,5400.0,109500.0,2700.0
39,2018-05-21,5500.0,5940.0,5450.0,5870.0,162500.0,2935.0
40,2018-05-22,5920.0,6020.0,5650.0,5680.0,110700.0,2840.0
41,2018-05-23,5680.0,5700.0,5450.0,5630.0,68100.0,2815.0
42,2018-05-24,5600.0,5600.0,5440.0,5460.0,32400.0,2730.0
43,2018-05-25,5460.0,5700.0,5330.0,5570.0,63400.0,2785.0
44,2018-05-28,5510.0,5560.0,5370.0,5400.0,27300.0,2700.0
45,2018-05-29,5380.0,5680.0,5320.0,5650.0,58400.0,2825.0
46,2018-05-30,5480.0,5550.0,5390.0,5440.0,38300.0,2720.0
47,2018-05-31,5510.0,5720.0,5490.0,5710.0,59800.0,2855.0
48,2018-06-01,5730.0,5800.0,5580.0,5640.0,46100.0,2820.0
49,2018-06-04,5800.0,5920.0,5700.0,5780.0,86500.0,2890.0
50,2018-06-05,5770.0,5780.0,5500.0,5570.0,57500.0,2785.0
51,2018-06-06,5560.0,5870.0,5420.0,5800.0,64600.0,2900.0
52,2018-06-07,5770.0,6120.0,5650.0,5720.0,151200.0,2860.0
53,2018-06-08,5680.0,5770.0,5600.0,5680.0,37500.0,2840.0
54,2018-06-11,5710.0,5990.0,5640.0,5960.0,65000.0,2980.0
55,2018-06-12,6000.0,6230.0,5900.0,6230.0,130100.0,3115.0
56,2018-06-13,6270.0,6270.0,6050.0,6110.0,67000.0,3055.0
57,2018-06-14,6050.0,6460.0,6040.0,6350.0,129100.0,3175.0
58,2018-06-15,6380.0,6480.0,6150.0,6280.0,72800.0,3140.0
59,2018-06-18,6300.0,6300.0,6060.0,6120.0,53100.0,3060.0
60,2018-06-19,6220.0,6220.0,5580.0,5610.0,123800.0,2805.0
61,2018-06-20,5710.0,5710.0,5200.0,5640.0,122600.0,2820.0
62,2018-06-21,5740.0,5760.0,5510.0,5620.0,48700.0,2810.0
63,2018-06-22,5640.0,5870.0,5370.0,5860.0,73800.0,2930.0
64,2018-06-25,6140.0,6220.0,5860.0,5890.0,88300.0,2945.0
65,2018-06-26,5810.0,5880.0,5670.0,5840.0,39400.0,2920.0
66,2018-06-27,5840.0,6130.0,5800.0,6120.0,46800.0,3060.0
67,2018-06-28,6090.0,6120.0,5900.0,5910.0,31900.0,2955.0
68,2018-06-29,5990.0,6250.0,5970.0,6100.0,63900.0,3050.0
69,2018-07-02,6110.0,6280.0,5940.0,5970.0,54200.0,2985.0
70,2018-07-03,5970.0,6140.0,5750.0,5950.0,46300.0,2975.0
71,2018-07-04,5890.0,5940.0,5830.0,5890.0,17700.0,2945.0
72,2018-07-05,5920.0,5920.0,5330.0,5450.0,64500.0,2725.0
73,2018-07-06,5450.0,5650.0,5310.0,5650.0,44800.0,2825.0
74,2018-07-09,5650.0,5780.0,5540.0,5710.0,23000.0,2855.0
75,2018-07-10,5710.0,5800.0,5520.0,5600.0,32100.0,2800.0
76,2018-07-11,5500.0,5550.0,5400.0,5460.0,35200.0,2730.0
